GSM	c_beta
GSM1941868	0.7910969758478967
GSM1941875	0.7743598453344265
GSM1941881	0.7478744706769613
GSM1941884	0.8669069640980914
GSM1941885	0.8701242461185775
GSM1941890	0.7481644092056314
GSM1941891	0.7949242324398842
GSM1941892	0.819217469108497
GSM1941896	0.8040159190686428
GSM1941899	0.7557881589611911
GSM1941900	0.756209764940277
GSM1941901	0.8094189853071677
GSM1941902	0.8538549967479863
GSM1941903	0.7778666491700023
GSM1941904	0.8757456232568469
GSM1941906	0.7650068017383338
GSM1941907	0.8586428998249541
GSM1941911	0.8268897598039157
GSM1941912	0.8082708324277796
GSM1941913	0.7734949196845365
GSM1941914	0.785144568508473
GSM1941915	0.8284740630834843
GSM1941919	0.8516567986158532
GSM1941920	0.737572200343328
GSM1941922	0.8452541417419523
GSM1941923	0.8784913261185537
GSM1941924	0.6966181441668504
GSM1941928	0.8432965146613198
GSM1941931	0.7862762850139814
GSM1941935	0.8571393047226807
GSM1941937	0.7777647289951668
GSM1941938	0.8399039473159524
GSM1941939	0.7975160733038852
GSM1941942	0.8148282938638174
GSM1941943	0.7517146050645942
GSM1941949	0.7652580198548875
GSM1941951	0.7647051633674848
GSM1941952	0.7719258470514041
GSM1941953	0.7903614141037041
GSM1941954	0.7946867906290965
GSM1941955	0.8744971462438962
GSM1941960	0.7613037617231933
GSM1941961	0.7769430565036624
GSM1941962	0.8155189839926137
GSM1941966	0.8141934084576911
GSM1941967	0.844168635063639
GSM1941968	0.8434543409021555
GSM1941970	0.876786655308367
GSM1941971	0.8315310182100404
GSM1941972	0.8089452597450129
GSM1941973	0.7451313064378235
GSM1941974	0.8569176878249605
GSM1941976	0.790732999762517
GSM1941977	0.830307165885877
GSM1941978	0.8563812463021465
GSM1941979	0.8405585398435951
GSM1941982	0.7810823754636667
GSM1941984	0.8110065697940769
GSM1941985	0.7264473734680694
GSM1941988	0.8341709156022161
GSM1941989	0.8526677672197019
GSM1941992	0.8173588227060312
GSM1941994	0.855802156031592
GSM1941995	0.809055022385774
GSM1941996	0.8522560470198379
GSM1941997	0.8318745280560462
GSM1941998	0.72934444141367
GSM1941999	0.8367744084430396
GSM1942000	0.86836942591008
GSM1942001	0.7903497042490684
GSM1942002	0.8809671287683709
GSM1942003	0.8136392107635789
GSM1942005	0.7486872594394786
GSM1942006	0.8134679448468198
GSM1942008	0.8154892196915852
GSM1942010	0.7997992346218759
GSM1942011	0.7186538463582562
GSM1942013	0.8636562256141666
GSM1942018	0.8322104068667822
GSM1942020	0.7408823755887348
GSM1942021	0.7513352667141475
GSM1942022	0.8302230979009364
GSM1942024	0.8197439806834839
GSM1942025	0.8336294866566782
GSM1942026	0.7728777940571957
GSM1942027	0.8115557234849388
GSM1942029	0.801814416097554
GSM1942030	0.8229354329073855
GSM1942032	0.7905250393794534
GSM1942033	0.8383699043731642
GSM1942034	0.778527064347486
GSM1942036	0.8159392997960875
GSM1942038	0.7686142491474451
GSM1942040	0.7813802107483785
GSM1942044	0.8411936370673614
GSM1942045	0.8005799400072329
GSM1942048	0.8201367206962809
GSM1942049	0.7550464089109953
