libName	subtype.pam50	subtype.pam50_proba_Basal	subtype.pam50_proba_Her2	subtype.pam50_proba_LumA	subtype.pam50_proba_LumB	subtype.pam50_proba_Normal
TCGA.AQ.A0Y5.01A	Basal	0.980960142243295	0.0190398577567047	0	0	0
TCGA.GI.A2C8.01A	Her2	0	0.644027749849186	0	0.355972250150814	0
TCGA.AO.A0JI.01A	Normal	0	0	0.370494372417723	0	0.629505627582277
TCGA.EW.A2FW.01A	Basal	0.910428623763585	0.0895713762364147	0	0	0
TCGA.C8.A1HO.01A	Her2	0.0041399648386548	0.654171156354562	0	0.341688878806783	0
TCGA.C8.A1HI.01A	Basal	0.694826217091198	0.246716755237921	0	0.0584570276708814	0
TCGA.AR.A2LL.01A	LumA	0	0	0.774754787482485	0.225245212517515	0
TCGA.B6.A1KC.01B	Basal	0.734198341768063	0	0	0	0.265801658231937
TCGA.PL.A8LV.01A	Normal	0	0	0.470222808357049	0	0.529777191642951
TCGA.C8.A274.01A	LumA	0	0	0.780987431428373	0.194083744184432	0.0249288243871953
TCGA.AC.A2QH.01A	LumA	0	0	0.764404159640247	0.235595840359753	0
TCGA.E2.A1L7.01A	LumB	0.0652050486963358	0.417478272262742	0	0.517316679040922	0
TCGA.BH.A28O.01A	LumA	0	0.0450925925925926	0.676944444444444	0.238055555555556	0.0399074074074074
TCGA.D8.A1XU.01A	Basal	0.787176064953843	0.212823935046157	0	0	0
TCGA.B6.A0IK.01A	Basal	0.930789648307896	0	0	0	0.0692103516921035
TCGA.E9.A247.01A	LumB	0	0.410453293793688	0	0.589546706206312	0
TCGA.AN.A0XW.01A	LumB	0	0.047136281535862	0.47515003204568	0.477713686418458	0
TCGA.AC.A8OP.01A	LumA	0	0	0.649222008341354	0	0.350777991658646
TCGA.EW.A6SD.01A	LumB	0	0	0.459280947841482	0.540719052158518	0
TCGA.A7.A4SB.01A	Basal	0.599902872207576	0.400097127792424	0	0	0
TCGA.AR.A24Q.01A	LumB	0	0.107648557378992	0.376266366490906	0.516085076130102	0
TCGA.D8.A1XV.01A	Basal	0.72760748923811	0.233131061666926	0	0.039261449094964	0
TCGA.E2.A1LI.01A	LumB	0	0.0672984874593146	0	0.932701512540685	0
TCGA.D8.A1XR.01A	LumB	0	0.433008698940998	0	0.566991301059002	0
TCGA.A2.A0SV.01A	LumA	0	0	0.695332712408155	0.132774500672669	0.171892786919176
TCGA.E9.A1R2.01A	LumB	0	0	0.102281180262832	0.897718819737168	0
TCGA.A2.A0YM.01A	LumA	0	0	0.518595950704225	0.481404049295775	0
TCGA.AO.A03N.01B	LumA	0	0	0.613912429378531	0.386087570621469	0
TCGA.LL.A442.01A	LumB	0	0	0.2136709367494	0.7863290632506	0
TCGA.D8.A27R.01A	LumB	0	0	0.481979778212655	0.518020221787345	0
TCGA.E9.A22G.01A	LumA	0	0	0.513872186909466	0	0.486127813090534
TCGA.A2.A4RW.01A	LumB	0	0.0824256388772518	0	0.917574361122748	0
TCGA.E2.A1LE.01A	LumB	0	0.453232565100269	0	0.546767434899731	0
TCGA.3C.AAAU.01A	LumA	0	0	0.620321918261906	0.232827714115387	0.146850367622706
TCGA.B6.A0WV.01A	Basal	1	0	0	0	0
TCGA.AR.A2LM.01A	Her2	0	0.539065708418891	0	0.460934291581109	0
TCGA.D8.A1JJ.01A	Basal	0.829136253041363	0	0	0	0.170863746958637
TCGA.E2.A1IG.01A	LumA	0	0	0.730025188916877	0	0.269974811083123
TCGA.D8.A1XB.01A	LumA	0	0	0.562458274608709	0	0.437541725391291
TCGA.LL.A9Q3.01A	Basal	0.971186440677966	0.0288135593220339	0	0	0
TCGA.BH.A1FD.01A	Basal	0.688129803586678	0.237346996868773	0	0.0745231995445488	0
TCGA.BH.A0HA.01A	LumB	0	0.361339522546419	0	0.638660477453581	0
TCGA.A2.A0CO.01A	LumB	0	0.485224983210208	0	0.514775016789792	0
TCGA.B6.A0X5.01A	LumB	0	0	0.39095259799453	0.60904740200547	0
TCGA.BH.A0BS.01A	LumA	0	0	0.743579035289204	0.0480963318716503	0.208324632839145
TCGA.AR.A2LE.01A	LumB	0	0.141324074804703	0.338751676793182	0.519924248402115	0
TCGA.AR.A24T.01A	LumB	0	0.2241952865108	0.201049524434241	0.57475518905496	0
TCGA.E2.A572.01A	Her2	0	0.665478615071283	0	0.334521384928717	0
TCGA.PE.A5DC.01A	LumA	0	0	0.644650655021834	0.355349344978166	0
TCGA.BH.A28Q.01A	Basal	0.607536986169341	0.223169967712399	0	0.169293046118259	0
TCGA.E9.A1NA.01A	LumB	0	0	0.0188152464190337	0.981184753580966	0
TCGA.D8.A1JP.01A	LumA	0	0.182861943433212	0.543545225427051	0	0.273592831139737
TCGA.A2.A259.01A	LumA	0	0	0.587595907928389	0	0.412404092071611
TCGA.E2.A1IO.01A	Normal	0	0	0.473641207815275	0	0.526358792184725
TCGA.A1.A0SN.01A	LumB	0	0.042581327691087	0.411372652737371	0.546046019571542	0
TCGA.S3.AA11.01A	Basal	0.59554490707764	0.204429191219323	0	0.200025901703037	0
TCGA.D8.A1XL.01A	LumA	0	0	0.76519397736015	0	0.23480602263985
TCGA.B6.A1KI.01A	LumA	0	0.279891136265232	0.439104348363951	0.281004515370817	0
