libName	subtype.pam50	subtype.pam50_proba_Basal	subtype.pam50_proba_Her2	subtype.pam50_proba_LumA	subtype.pam50_proba_LumB	subtype.pam50_proba_Normal
TCGA.LL.A442.01A.11R.A24H.07	LumB	0	0	0.485532862005761	0.514467137994239	0
TCGA.D8.A27R.01A.11R.A16F.07	LumB	0	0.425556501642136	0	0.574443498357864	0
TCGA.E9.A22G.01A.11R.A157.07	Basal	0.930239363258618	0.0226487973313045	0	0.0471118394100778	0
TCGA.E2.A1LE.01A.12R.A19W.07	Her2	0	0.773782733224223	0	0.226217266775777	0
TCGA.B6.A0WV.01A.11R.A109.07	LumB	0	0.134905753478733	0.0375999210500345	0.827494325471233	0
TCGA.D8.A1JJ.01A.31R.A14M.07	LumB	0	0.389606803622708	0	0.610393196377292	0
TCGA.E2.A1IG.01A.11R.A144.07	LumA	0	0	0.697480380008261	0.130772408095828	0.171747211895911
TCGA.D8.A1XB.01A.11R.A14D.07	LumA	0	0	0.756938751610259	0	0.243061248389741
TCGA.BH.A1FD.01A.11R.A13Q.07	LumB	0	0.328900874093361	0	0.67109912590664	0
TCGA.BH.A0HA.01A.11R.A12P.07	LumA	0	0	0.755104637109599	0.106290948412951	0.138604414477451
TCGA.B6.A0X5.01A.21R.A109.07	LumB	0	0.309619116933527	0	0.690380883066472	0
TCGA.BH.A0BS.01A.11R.A12P.07	LumA	0	0	0.625360419397117	0.374639580602883	0
TCGA.E2.A572.01A.13R.A31O.07	LumA	0	0	0.666709467556925	0	0.333290532443075
TCGA.D8.A1JP.01A.11R.A13Q.07	LumB	0	0.111537190082645	0.157157024793388	0.731305785123967	0
TCGA.A2.A259.01A.11R.A16F.07	LumA	0	0	0.611102074013827	0	0.388897925986173
TCGA.E2.A1IO.01A.11R.A144.07	LumA	0	0	0.742622574348375	0	0.257377425651625
TCGA.A1.A0SN.01A.11R.A144.07	LumB	0	0.381958946671421	0.0204247949880304	0.597616258340549	0
TCGA.S3.AA11.01A.31R.A41B.07	LumA	0	0	0.725368502715283	0.136957689323865	0.137673807960852
TCGA.D8.A1XL.01A.11R.A14M.07	LumB	0	0.412317747611865	0	0.587682252388135	0
TCGA.B6.A1KI.01A.11R.A14M.07	LumA	0	0	0.727777504790919	0.103041619576434	0.169180875632647
