Mixture,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Correlation,RMSE,Absolute score (sig.score)
TCGA-E2-A1B1-01A-21R-A12P-07,0.152667290726967,0,0.0673953397454702,0.169928586211883,0,0.552599873127169,0.0753649879567793,0.141086364023851,0.0163288945165916,0.0437759407731624,0,0,0.00730129556802466,0.364481281192698,0.239716384688087,0.281893606647525,0.0620154434899603,0.0488287553791676,0.119816968653046,0,0,0,0,0.616215516418895,0.809342189496536,2.34320101270038
TCGA-AN-A0XO-01A-11R-A109-07,0.0300406475841199,0,0.0305857924163879,0.0253747395373265,0,0.0871480835205814,0,0.0354144818061757,0.0288757526441021,0,0.00389927431159298,0.010937195894001,0,0.239379120512825,0.0209758689576148,0.0861049987977813,0.0293264401732487,0.0353676349127039,0.0705344431106333,0,0,0.0200832066617576,0,0.715729539585469,0.748683059780459,0.754047680840852
TCGA-AR-A255-01A-11R-A169-07,0.118974526464729,0,0.0431668507479838,0.128765808982451,0,0.296366011521498,0.0507942779988371,0.0967223709183849,0.0667262137149813,0.00640080552441367,0.0163377142537037,0,0.0248930174619946,0.19521837019941,0.168976078437453,0.294334078465657,0.0316678035606213,0.00662070248308866,0.152847819356079,0,0,0.000615352972740231,0,0.648356660092691,0.798143296215671,1.69942780306403
TCGA-UL-AAZ6-01A-11R-A41B-07,0.0143829645171569,0.021355919313182,0.0167853690529536,0.0286226936997733,0,0.11294791262701,0,0.0294436530761248,0.0422067120793408,0,0,0.0163624519825786,0,0.191345783429658,0.0580093467397727,0.230531969389062,0.00204028965074456,0,0.0544413607381755,0,0,0.00246862260983226,0.004,0.43774892095158,0.898626073826825,0.820945048905366
TCGA-LD-A7W5-01A-22R-A352-07,0.523020322931805,0,0.188939254316883,0.406236722528905,0,0.307951468608103,0.0702543858136589,0.275796205429514,0.287103763086964,0.00606507367609343,0,0.0344109611311935,0.0692878725963319,0.164892775495433,0.201406171918888,0.125034441843326,0.0959411688542982,0,0.123071350297035,0,0,0,0,0.619442623864738,0.799849178073951,2.87941193852843
TCGA-BH-A1F8-01A-11R-A13Q-07,0.117612947943742,0,0.0444796949702498,0.0900745280962073,0,0.278969667566262,0,0.0522477208244591,0.0276985135338732,0,0.010628995549975,0,0.00544685381468525,0.0887195957750015,0.0531084764835315,0.187579318090026,0.00764559793557467,0.0442088064801786,0.0407598512447431,0,0,0,0.01,0.339106537544586,0.944013188906028,1.04918056830851
TCGA-AC-A2BM-01A-11R-A21T-07,0.0276741477478509,0.043101878325079,0.0807276285569959,0.105896779089137,0,0.530314287076935,0.0360872439616384,0.101255192396407,0.0156055304476364,0,0.0346612451128337,0,0.00567499805403161,0.138913267259098,0.131016123962306,0.226595218630745,0.0110146389254718,0.0145895441455889,0.134991519977277,0.00979682978045013,0,0.0186959587602135,0.00600000000000001,0.408837870719052,0.91199593785846,1.6666120322097
TCGA-E2-A1IN-01A-11R-A13Q-07,0.0500874900797075,0,0.0138073370093327,0.0290354149054226,0,0.206242326463382,0,0.0377477908172626,0.0202185503887854,0,0.00249665600593354,0.00865220538395032,0.0438092900330406,0.0577997794037488,0.0384281607771712,0.16876337500542,0.0123178457132541,0.00556691162123077,0.192163372457036,0,0,0.00963814138796386,0,0.660756949265171,0.795583916672432,0.896774647452642
TCGA-AR-A1AR-01A-31R-A137-07,0.0629111298860309,0,0.0143147111397294,0.151405882258728,0,0.490007814518624,0.10479808108522,0.0432312171698838,0.0241061917862815,0.00319838725532983,0.125348221368337,0,0.0718097702005461,0.509695766052932,0.200715171794118,0.364870724789609,0.0421590568840004,0.0348593835492238,0.00980241720464078,0.0165674904556264,0,0,0,0.808928774123944,0.69043052691357,2.26980141739886
TCGA-EW-A1P6-01A-11R-A144-07,0.200054973386939,0,0.170958868595899,0.0817872267194988,0,0.186163104233296,0,0.050906819596866,0.0449522874090127,0,0,0.0241386393439085,0.016464482155411,0.0966931827786594,0.0671142688362568,0.15792433674675,0.0205201027184954,0,0.122804075555636,0,0,0.00431664691699767,0.002,0.484404804208865,0.875700359955411,1.24479901499363
